strategy,action_index,path,x,y,channel,result,reason,movement_s,measurement_s,switch_s,clear_success_s,clear_failure_s,total_action_s
E11,39,/measure,1125.7000088436725,-98.4859893048539,9,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,40,/measure,1125.7000088436725,-98.4859893048539,10,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,41,/measure,1125.7000088436725,-98.4859893048539,11,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,42,/measure,1125.7000088436725,-98.4859893048539,12,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,43,/measure,1125.7000088436725,-98.4859893048539,17,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,44,/measure,1125.7000088436725,-98.4859893048539,20,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,45,/measure,988.7091298815593,-142.22306773132493,14,direction,E11:joint_route_transit,28.760690498036126,5.0,1.0,0.0,0.0,34.760690498036126
E11,46,/measure,760.3909982780374,-215.11819844211,15,direction,E11:joint_route_transit,47.93448416339352,5.0,1.0,0.0,0.0,53.93448416339352
E11,47,/measure,740.8208727120211,-221.36635250303442,14,direction,E11:joint_route_transit,4.1086700711480315,5.0,1.0,0.0,0.0,10.108670071148032
E11,48,/clear,734.2974975233491,-223.44907052334258,19,success,E11_clear,1.3695566903826717,0.0,0.0,5.0,0.0,6.369556690382671
E11,49,/measure,735.1615621193841,-225.22901847791704,14,direction,E11:joint_route_transit,0.39571820009269315,5.0,0.0,0.0,0.0,5.395718200092693
E11,50,/measure,785.2773086894183,-328.4659998432355,14,direction,E11:joint_route_transit,22.951655605376278,5.0,0.0,0.0,0.0,27.951655605376278
E11,51,/clear,786.1413732854534,-330.24594779781,4,success,E11_clear,0.39571820009269826,0.0,0.0,5.0,0.0,5.395718200092698
E11,52,/measure,782.9766694102163,-332.8041015482955,14,direction,E11:joint_route_transit,0.8138673412556405,5.0,0.0,0.0,0.0,5.813867341255641
E11,53,/clear,596.2591407712348,-483.7351728269387,1,success,E11_clear,48.01817313408238,0.0,0.0,5.0,0.0,53.01817313408238
E11,54,/clear,240.99495283662685,-238.6654472467698,13,success,E11_clear,86.31843687759313,0.0,0.0,5.0,0.0,91.31843687759313
E11,55,/measure,195.14102678485906,-391.93995084600044,18,direction,E11:joint_route_transit,31.99728487728392,5.0,1.0,0.0,0.0,37.99728487728392
E11,56,/measure,112.16725583404119,-669.2938145017513,2,direction,E11:joint_route_transit,57.89984882556141,5.0,1.0,0.0,0.0,63.89984882556141
E11,57,/measure,112.16725583404119,-669.2938145017513,18,direction,E11:joint_route_transit,0.0,5.0,1.0,0.0,0.0,6.0
E11,58,/clear,109.98373554586175,-676.5926003874289,15,success,E11_clear,1.5236802322516074,0.0,0.0,5.0,0.0,6.523680232251607
E11,59,/measure,116.10998388288056,-682.3848537034953,18,direction,E11:joint_route_transit,1.686192363454516,5.0,0.0,0.0,0.0,6.686192363454516
E11,60,/measure,214.1299572751816,-775.060906760558,18,direction,E11:joint_route_transit,26.979077815272273,5.0,0.0,0.0,0.0,31.979077815272273
E11,61,/measure,477.55863576699056,-1024.1277993514143,20,no_signal,E11:discovery,72.50627162854423,5.0,1.0,0.0,0.0,78.50627162854423
E11,62,/measure,477.55863576699056,-1024.1277993514143,17,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,63,/measure,477.55863576699056,-1024.1277993514143,12,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,64,/measure,477.55863576699056,-1024.1277993514143,11,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,65,/measure,477.55863576699056,-1024.1277993514143,10,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,66,/measure,477.55863576699056,-1024.1277993514143,9,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,67,/measure,477.55863576699056,-1024.1277993514143,8,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,68,/measure,477.55863576699056,-1024.1277993514143,7,direction,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,69,/measure,88.1242088406857,-993.9570922164309,18,direction,E11:joint_route_transit,78.1202776350531,5.0,1.0,0.0,0.0,84.1202776350531
E11,70,/measure,-1.745274296153866,-986.994621339127,2,direction,E11:joint_route_transit,18.02775637731994,5.0,1.0,0.0,0.0,24.02775637731994
E11,71,/measure,-241.39722932772617,-968.4280323329832,2,direction,E11:joint_route_transit,48.07401700618654,5.0,0.0,0.0,0.0,53.07401700618654
E11,72,/measure,-241.39722932772617,-968.4280323329832,18,direction,E11:joint_route_transit,0.0,5.0,1.0,0.0,0.0,6.0
E11,73,/measure,-421.13619560140535,-954.5030905783755,7,direction,E11:joint_safe_supplement,36.05551275463989,5.0,1.0,0.0,0.0,42.05551275463989
E11,74,/clear,-565.7020463096125,-1304.2745089312966,7,success,E11_clear,75.6939443516063,0.0,0.0,5.0,0.0,80.6939443516063
E11,75,/measure,-648.1413730766824,-925.6418100465605,8,no_signal,E11:discovery,77.50070019362327,5.0,1.0,0.0,0.0,83.50070019362327
E11,76,/measure,-648.1413730766824,-925.6418100465605,9,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,77,/measure,-648.1413730766824,-925.6418100465605,10,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
E11,78,/measure,-648.1413730766824,-925.6418100465605,11,no_signal,E11:discovery,0.0,5.0,1.0,0.0,0.0,6.0
